timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1567259740492,135656,HTTPS Request,200,OK,Thread Group 1-10,text,true,,16398961,1672,10,10,https://valentarmo-st0263p1.tk,1877,0,1614
1567259740492,1877,HTTPS Request-0,200,OK,Thread Group 1-10,text,true,,1041,126,10,10,https://valentarmo-st0263p1.tk,1877,0,1614
1567259742375,105,HTTPS Request-1,200,OK,Thread Group 1-10,bin,true,,5674,137,10,10,https://valentarmo-st0263p1.tk/favicon.ico,105,0,0
1567259742480,95,HTTPS Request-2,200,OK,Thread Group 1-10,text,true,,6494,143,10,10,https://valentarmo-st0263p1.tk/runtime-es2015.js,95,0,0
1567259742576,6660,HTTPS Request-3,200,OK,Thread Group 1-10,text,true,,257554,145,10,10,https://valentarmo-st0263p1.tk/polyfills-es2015.js,3074,0,1605
1567259749237,1247,HTTPS Request-4,200,OK,Thread Group 1-10,text,true,,6491,140,10,10,https://valentarmo-st0263p1.tk/runtime-es5.js,1247,0,812
1567259750485,9569,HTTPS Request-5,200,OK,Thread Group 1-10,text,true,,571895,142,10,10,https://valentarmo-st0263p1.tk/polyfills-es5.js,1048,0,0
1567259760053,3231,HTTPS Request-6,200,OK,Thread Group 1-10,text,true,,187509,142,10,10,https://valentarmo-st0263p1.tk/styles-es2015.js,1070,0,518
1567259763286,2872,HTTPS Request-7,200,OK,Thread Group 1-10,text,true,,187506,139,10,10,https://valentarmo-st0263p1.tk/styles-es5.js,738,0,327
1567259766158,58138,HTTPS Request-8,200,OK,Thread Group 1-10,text,true,,7182812,142,10,10,https://valentarmo-st0263p1.tk/vendor-es2015.js,1267,0,642
1567259824296,970,HTTPS Request-9,200,OK,Thread Group 1-10,text,true,,62342,140,10,10,https://valentarmo-st0263p1.tk/main-es2015.js,733,0,429
1567259825267,45501,HTTPS Request-10,200,OK,Thread Group 1-10,text,true,,7864284,139,10,10,https://valentarmo-st0263p1.tk/vendor-es5.js,173,0,0
1567259870767,5381,HTTPS Request-11,200,OK,Thread Group 1-10,text,true,,65359,137,10,10,https://valentarmo-st0263p1.tk/main-es5.js,2456,0,1780
1567259739492,177604,HTTPS Request,200,OK,Thread Group 1-9,text,true,,16398961,1672,9,9,https://valentarmo-st0263p1.tk,1962,0,1354
1567259739492,1962,HTTPS Request-0,200,OK,Thread Group 1-9,text,true,,1041,126,9,9,https://valentarmo-st0263p1.tk,1962,0,1354
